NO,TYPE,PLATE_NO,OWNER NAME,ENGIN NO,SERIAL NO,TITLE CER NO,REG/ DATE,MAKE,MODEL,CAPACITY,ENG POWER HP,M/FA/ YEAR,FILE NO,REGION,CITY,WOREDA,KEBELE,P O Box,TELL,T/ S/No,DATE,DUTY,DATA,Remark,Edesate,EGED,EGED D,EGED N,BIR AMMOUNT,BANK B,Tin Number,Field1
,COMPACTOR,ሥከ-CM-0068,Water Works Construction Enterprise,A7307900327,613,6499,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-23,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0069,Water Works Construction Enterprise,A7307900324,613A,6500,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-24,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0070,Water Works Construction Enterprise,A7307900365,615,6502,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-25,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0071,Water Works Construction Enterprise,A7307900360,616,6503,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-26,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0072,Water Works Construction Enterprise,A7307900368,617,6504,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-27,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0073,Water Works Construction Enterprise,A7307900370,606,6505,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-28,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0074,Water Works Construction Enterprise,A7307900408,608,6506,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-29,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0075,Water Works Construction Enterprise,A7307900364,611,6507,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-30,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0077,Water Works Construction Enterprise,A7307900353,610,6509,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-32,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0078,Water Works Construction Enterprise,7307900269,599,6510,29/03/02,XGMA,XG6204M,20,167.5,2009,026-CM-33,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0079,Water Works Construction Enterprise,A7307900393,601,6525,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-34,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0081,Water Works Construction Enterprise,A7307900203,598,6624,29/03/02,Xiamen,XG6204M,20,168,2009,026-CM-36,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0082,Mekele City Administration,A7307900320,643A,6530,09/04/02,Xiagong,XG6204M,20,168,2009,1924-CM-01,Tigray,Mekele,---,---,---,914723841,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0083,Kombolcha City Administration,A7307900304,647,6560,15/04/02,Xiagong,XG6204M,20,168,2009,1934-CM-01,Amhara,Kombolcha,---,3,64,335514488,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0084,Gonder City Administration,A7307900308,646,6581,20/04/02,Xiagong,XG6204M,20,168,2009,1935-CM-01,Amhara,Gonder,Gonder,5,60,581116462,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0085,Hossaena City Administration,A7307900389,619,6632,,Xiagong,XG6204M,20,168,,1950-CM-01,South,Hossaena,H/C/A,Siduna,2356,46552069,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0086,Mekele City Administration,A7307900388,620,6644,20/05/02,Xiagong,XG6204M,20,168,2009,1924-CM-02,Tigray,Mekele,---,---,---,914723841,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0087,Arbaminch City Administration,A7307900369,618,6665,26/05/02,Xiagong,XG6204M,20,168,2009,1965-CM-01,South,A/Minch,---,---,---,0468814619/0468812392,,,FREE,,,,,,,,,,
